time, Acc_x,Acc_y,Acc_z,Acc, Pressure, Temprature, Voltage, Gyro_x, Gyro_y, Gyro_z, Gyro, Mag_x, Mag_y, Mag_z,Mag
s,G,G,G,G,psia,^C,volts,deg/s,deg/s,deg/s,deg/s,Gauss,Gauss,Gauss,Gauss
0.00000000000,1.01,0.50,0.06,1.13,14.09,27.73,4.09,50.40,31.31,2.64,59.40,-0.27,0.26,-0.17,0.41
0.00048828125,0.75,0.12,-0.24,0.80,14.11,27.91,4.09,-1.14,5.08,2.85,5.94,-0.27,0.26,-0.17,0.41
0.00097656250,0.55,0.12,-0.44,0.72,14.14,27.82,4.09,-1.21,5.08,2.85,5.95,-0.27,0.26,-0.17,0.41
0.00146484375,0.72,0.06,-0.37,0.81,14.14,27.64,4.09,-1.14,5.15,2.78,5.97,-0.27,0.26,-0.17,0.41
0.00195312500,0.69,0.03,-0.24,0.74,14.14,27.79,4.09,-1.28,5.29,2.64,6.05,-0.27,0.26,-0.17,0.41
0.00244140625,0.78,0.06,-0.29,0.84,14.14,27.29,4.09,-1.28,5.50,2.50,6.18,-0.27,0.26,-0.17,0.41
0.00292968750,0.72,0.12,-0.39,0.83,14.03,27.38,4.09,-1.21,5.71,2.43,6.32,-0.27,0.26,-0.17,0.41
0.00341796875,0.75,-0.03,-0.42,0.86,14.06,27.88,4.08,-1.21,5.85,2.37,6.42,-0.27,0.26,-0.17,0.41
0.00390625000,0.78,0.09,-0.27,0.83,14.03,27.88,4.08,-1.21,5.85,2.23,6.37,-0.27,0.26,-0.19,0.42
0.00439453125,0.75,0.00,-0.27,0.80,14.09,27.47,4.09,-1.07,5.78,2.09,6.24,-0.27,0.26,-0.19,0.42
0.00488281250,0.75,0.09,-0.34,0.83,14.06,27.55,4.08,-1.00,5.78,2.09,6.23,-0.27,0.26,-0.19,0.42
0.00537109375,0.69,0.09,-0.19,0.73,14.03,27.61,4.08,-1.00,5.85,2.23,6.34,-0.27,0.26,-0.19,0.42
0.00585937500,0.75,0.06,-0.29,0.81,14.11,27.53,4.08,-1.00,6.06,2.30,6.56,-0.27,0.26,-0.19,0.42
